Date,Price,Load forecast,Generation forecast
2017-01-01 00:00:00,58.23,73650.0,69539.0
2017-01-01 01:00:00,51.95,72350.0,67376.0
2017-01-01 02:00:00,47.27,68750.0,65412.0
2017-01-01 03:00:00,45.49,65900.0,64557.0
2017-01-01 04:00:00,44.5,65000.0,64552.0
2017-01-01 05:00:00,44.5,65250.0,64695.0
2017-01-01 06:00:00,44.72,65550.0,64956.0
2017-01-01 07:00:00,44.22,66100.0,64938.0
2017-01-01 08:00:00,42.06,66750.0,65526.0
2017-01-01 09:00:00,45.7,68800.0,66426.0
2017-01-01 10:00:00,47.91,70050.0,67533.0
2017-01-01 11:00:00,49.57,71050.0,68066.0
2017-01-01 12:00:00,48.69,71100.0,68120.0
2017-01-01 13:00:00,46.91,67750.0,65870.0
2017-01-01 14:00:00,46.51,65200.0,64558.0
2017-01-01 15:00:00,46.52,64650.0,65023.0
2017-01-01 16:00:00,51.59,67150.0,66742.0
2017-01-01 17:00:00,59.07,70500.0,69175.0
2017-01-01 18:00:00,62.1,73250.0,70434.0
2017-01-01 19:00:00,56.26,72600.0,69171.0
2017-01-01 20:00:00,55.0,70550.0,68694.0
2017-01-01 21:00:00,56.02,69950.0,68900.0
2017-01-01 22:00:00,52.0,72700.0,69063.0
2017-01-01 23:00:00,54.99,71300.0,67873.0
2017-01-02 00:00:00,50.18,68550.0,66568.0
2017-01-02 01:00:00,49.11,67600.0,65962.0
2017-01-02 02:00:00,45.78,65100.0,65838.0
2017-01-02 03:00:00,44.99,64150.0,65653.0
2017-01-02 04:00:00,46.97,65950.0,65989.0
2017-01-02 05:00:00,52.0,69050.0,67471.0
2017-01-02 06:00:00,59.07,73100.0,70379.0
2017-01-02 07:00:00,64.98,77600.0,72051.0
2017-01-02 08:00:00,65.02,79450.0,73119.0
2017-01-02 09:00:00,68.49,80950.0,74464.0
2017-01-02 10:00:00,65.99,81650.0,75072.0
2017-01-02 11:00:00,65.75,82650.0,75432.0
2017-01-02 12:00:00,64.98,82350.0,75022.0
