,Price,Load forecast,Generation forecast,Prévision J-1 Solaire,Prévision J-1 Eolien
2017-01-01 00:00:00,58.23,73650.0,69539.0,0.0,1060.0
2017-01-01 01:00:00,51.95,72350.0,67376.0,0.0,1071.0
2017-01-01 02:00:00,47.27,68750.0,65412.0,0.0,1081.0
2017-01-01 03:00:00,45.49,65900.0,64557.0,0.0,1228.0
2017-01-01 04:00:00,44.5,65000.0,64552.0,0.0,1376.0
2017-01-01 05:00:00,44.5,65250.0,64695.0,0.0,1523.0
2017-01-01 06:00:00,44.72,65550.0,64956.0,0.0,1791.0
2017-01-01 07:00:00,44.22,66100.0,64938.0,0.0,2059.0
2017-01-01 08:00:00,42.06,66750.0,65526.0,136.31,2328.0
2017-01-01 09:00:00,45.7,68800.0,66426.0,823.63,2369.0
2017-01-01 10:00:00,47.91,70050.0,67533.0,1618.65,2411.0
2017-01-01 11:00:00,49.57,71050.0,68066.0,2146.95,2453.0
2017-01-01 12:00:00,48.69,71100.0,68120.0,2309.05,2308.0
2017-01-01 13:00:00,46.91,67750.0,65870.0,2030.14,2164.0
2017-01-01 14:00:00,46.51,65200.0,64558.0,1380.09,2019.0
2017-01-01 15:00:00,46.52,64650.0,65023.0,533.48,2085.0
2017-01-01 16:00:00,51.59,67150.0,66742.0,30.38,2151.0
2017-01-01 17:00:00,59.07,70500.0,69175.0,0.0,2216.0
2017-01-01 18:00:00,62.1,73250.0,70434.0,0.0,2139.0
2017-01-01 19:00:00,56.26,72600.0,69171.0,0.0,2063.0
2017-01-01 20:00:00,55.0,70550.0,68694.0,0.0,1986.0
2017-01-01 21:00:00,56.02,69950.0,68900.0,0.0,1818.0
2017-01-01 22:00:00,52.0,72700.0,69063.0,0.0,1649.0
2017-01-01 23:00:00,54.99,71300.0,67873.0,0.0,1204.0
2017-01-02 00:00:00,50.18,68550.0,66568.0,0.0,1110.0
2017-01-02 01:00:00,49.11,67600.0,65962.0,0.0,1013.0
2017-01-02 02:00:00,45.78,65100.0,65838.0,0.0,920.0
2017-01-02 03:00:00,44.99,64150.0,65653.0,0.0,857.0
2017-01-02 04:00:00,46.97,65950.0,65989.0,0.0,797.0
2017-01-02 05:00:00,52.0,69050.0,67471.0,0.0,750.0
2017-01-02 06:00:00,59.07,73100.0,70379.0,0.0,749.0
2017-01-02 07:00:00,64.98,77600.0,72051.0,0.0,755.0
2017-01-02 08:00:00,65.02,79450.0,73119.0,119.39,767.0
2017-01-02 09:00:00,68.49,80950.0,74464.0,693.14,737.0
2017-01-02 10:00:00,65.99,81650.0,75072.0,1355.31,710.0
2017-01-02 11:00:00,65.75,82650.0,75432.0,1802.69,685.0
2017-01-02 12:00:00,64.98,82350.0,75022.0,1867.11,735.0
2017-01-02 13:00:00,61.19,80300.0,73887.0,1670.94,788.0
2017-01-02 14:00:00,59.71,77000.0,73225.0,1163.63,842.0
2017-01-02 15:00:00,60.96,76050.0,73551.0,475.55,1043.0
2017-01-02 16:00:00,73.55,78400.0,75289.0,31.2,1251.0
2017-01-02 17:00:00,77.42,83550.0,79030.0,0.0,1464.0
2017-01-02 18:00:00,75.0,85300.0,78919.0,0.0,1445.0
2017-01-02 19:00:00,70.11,81650.0,75661.0,0.0,1425.0
2017-01-02 20:00:00,61.21,77550.0,73915.0,0.0,1410.0
2017-01-02 21:00:00,60.1,75550.0,73785.0,0.0,1318.0
2017-01-02 22:00:00,58.78,78500.0,72632.0,0.0,1228.0
2017-01-02 23:00:00,54.68,75200.0,71574.0,0.0,1183.0
2017-01-03 00:00:00,52.74,72850.0,70291.0,0.0,1125.0
2017-01-03 01:00:00,49.25,72100.0,69366.0,0.0,1067.0
2017-01-03 02:00:00,45.0,69550.0,68511.0,0.0,1012.0
2017-01-03 03:00:00,45.18,68350.0,68294.0,0.0,1054.0
2017-01-03 04:00:00,49.25,69950.0,69183.0,0.0,1102.0
2017-01-03 05:00:00,57.65,74700.0,71650.0,0.0,1152.0
2017-01-03 06:00:00,70.51,81650.0,75582.0,0.0,1232.0
2017-01-03 07:00:00,74.04,85950.0,77784.0,0.0,1314.0
2017-01-03 08:00:00,75.32,86950.0,78982.0,145.66,1396.0
2017-01-03 09:00:00,74.65,87700.0,79557.0,877.7,1434.0
2017-01-03 10:00:00,73.31,87600.0,79845.0,1737.32,1472.0
2017-01-03 11:00:00,72.71,87350.0,79398.0,2324.97,1510.0
2017-01-03 12:00:00,71.69,86600.0,78198.0,2495.16,1562.0
2017-01-03 13:00:00,70.51,84550.0,77000.0,2246.85,1614.0
2017-01-03 14:00:00,69.94,82000.0,75943.0,1571.3,1667.0
2017-01-03 15:00:00,71.11,81100.0,75486.0,634.93,1812.0
2017-01-03 16:00:00,81.32,84050.0,78228.0,39.83,1958.0
2017-01-03 17:00:00,137.21,88650.0,81352.0,0.0,2106.0
2017-01-03 18:00:00,90.17,89750.0,81346.0,0.0,2198.0
2017-01-03 19:00:00,74.94,86100.0,77967.0,0.0,2290.0
2017-01-03 20:00:00,71.59,81850.0,76556.0,0.0,2382.0
2017-01-03 21:00:00,68.73,79350.0,76016.0,0.0,2523.0
2017-01-03 22:00:00,67.42,81550.0,75775.0,0.0,2665.0
2017-01-03 23:00:00,62.69,78050.0,73970.0,0.0,3000.0
2017-01-04 00:00:00,56.04,74900.0,72451.0,0.0,3066.0
2017-01-04 01:00:00,54.1,74500.0,71911.0,0.0,3132.0
2017-01-04 02:00:00,52.0,71500.0,71498.0,0.0,3196.0
2017-01-04 03:00:00,51.36,70000.0,71627.0,0.0,3259.0
2017-01-04 04:00:00,53.02,71450.0,71951.0,0.0,3322.0
2017-01-04 05:00:00,62.4,75350.0,75095.0,0.0,3385.0
2017-01-04 06:00:00,72.32,81050.0,78000.0,0.0,3418.0
2017-01-04 07:00:00,73.01,85400.0,80051.0,0.0,3452.0
