Date UTC,Prévision J-1 Solaire,Prévision J-1 Eolien
2016-12-31 23:00:00,0.0,0.0
2017-01-01 00:00:00,0.0,0.0
2017-01-01 01:00:00,0.0,0.0
2017-01-01 02:00:00,0.0,0.0
2017-01-01 03:00:00,0.0,0.0
2017-01-01 04:00:00,0.0,0.0
2017-01-01 05:00:00,0.0,0.0
2017-01-01 06:00:00,0.0,0.0
2017-01-01 07:00:00,0.0,0.0
2017-01-01 08:00:00,136.31,136.31
2017-01-01 09:00:00,823.63,823.63
2017-01-01 10:00:00,1618.65,1618.65
2017-01-01 11:00:00,2146.95,2146.95
2017-01-01 12:00:00,2309.05,2309.05
2017-01-01 13:00:00,2030.14,2030.14
2017-01-01 14:00:00,1380.09,1380.09
2017-01-01 15:00:00,533.48,533.48
2017-01-01 16:00:00,30.38,30.38
2017-01-01 17:00:00,0.0,0.0
2017-01-01 18:00:00,0.0,0.0
2017-01-01 19:00:00,0.0,0.0
2017-01-01 20:00:00,0.0,0.0
2017-01-01 21:00:00,0.0,0.0
2017-01-01 22:00:00,0.0,0.0
2017-01-01 23:00:00,0.0,0.0
2017-01-02 00:00:00,0.0,0.0
2017-01-02 01:00:00,0.0,0.0
2017-01-02 02:00:00,0.0,0.0
2017-01-02 03:00:00,0.0,0.0
2017-01-02 04:00:00,0.0,0.0
2017-01-02 05:00:00,0.0,0.0
2017-01-02 06:00:00,0.0,0.0
2017-01-02 07:00:00,0.0,0.0
2017-01-02 08:00:00,119.39,119.39
2017-01-02 09:00:00,693.14,693.14
2017-01-02 10:00:00,1355.31,1355.31
2017-01-02 11:00:00,1802.69,1802.69
2017-01-02 12:00:00,1867.11,1867.11
2017-01-02 13:00:00,1670.94,1670.94
2017-01-02 14:00:00,1163.63,1163.63
2017-01-02 15:00:00,475.55,475.55
2017-01-02 16:00:00,31.2,31.2
2017-01-02 17:00:00,0.0,0.0
2017-01-02 18:00:00,0.0,0.0
2017-01-02 19:00:00,0.0,0.0
2017-01-02 20:00:00,0.0,0.0
2017-01-02 21:00:00,0.0,0.0
2017-01-02 22:00:00,0.0,0.0
2017-01-02 23:00:00,0.0,0.0
2017-01-03 00:00:00,0.0,0.0
