Date,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2016-12-27,19.1563486443786,18.36914461281509,17.482011389493582,17.313428736781834,17.956999807391178,19.27326318242622,22.180325436311502,23.97322253865944,24.762002394565112,26.331081410321296,27.728825371432677,27.517019441311877,26.752553085485467,26.38651491163933,25.605501997708565,25.792876683767087,28.2186637695719,36.98491773860113,32.79415217990853,31.35093389752941,32.20377880634068,29.63926687051308,25.150579401418465,22.739796037439135
2016-12-28,22.176975895656692,21.568073937147904,21.175249282651414,21.182493314662896,21.9168847677643,23.873405438151963,29.63541932422393,32.45782899998693,30.416726225457943,30.07235864869731,29.526962337446292,27.70131395855534,25.756319591251415,24.579717685131165,23.912088139408105,24.46976305044795,26.350958361915158,34.24906936478104,33.33151204974822,32.22617311108532,30.836699054736684,29.01696039700461,25.791073603334834,23.40409781172635
2016-12-29,21.39788494537413,20.578465178110978,19.721516894446307,19.757832846955147,19.988151385206052,21.899985654378415,26.99156917022623,32.281490221677494,29.460011728774695,30.093665426177097,30.361528240038947,30.149270578649393,29.01184870351811,28.79998586328224,28.494855093025333,28.760240377508868,30.688918750887098,41.16707575648253,38.06849811318018,36.769177912860016,35.50268689189269,32.06466811586583,27.631282409418606,25.254044239148325
2016-12-30,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-02,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-03,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-04,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-05,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-06,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-07,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-08,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-09,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-10,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-11,,,,,,,,,,,,,,,,,,,,,,,,
