,Price,Exogenous 2,Exogenous 1
2018-12-31 00:00:00+01:00,50.94,8675.0,5544.0
2018-12-31 01:00:00+01:00,49.57,8560.0,4866.0
2018-12-31 02:00:00+01:00,48.32,8204.0,4153.0
2018-12-31 03:00:00+01:00,45.89,7965.0,4667.0
2018-12-31 04:00:00+01:00,45.47,7911.0,4737.0
2018-12-31 05:00:00+01:00,47.11,8005.0,4411.0
2018-12-31 06:00:00+01:00,49.12,8573.0,5372.0
2018-12-31 07:00:00+01:00,53.79,9173.0,5709.0
2018-12-31 08:00:00+01:00,57.47,9627.0,5794.0
2018-12-31 09:00:00+01:00,61.52,9962.0,6038.0
2018-12-31 10:00:00+01:00,62.64,10201.0,6241.0
2018-12-31 11:00:00+01:00,64.56,10277.0,6560.0
2018-12-31 12:00:00+01:00,65.01,10272.0,6637.0
2018-12-31 13:00:00+01:00,63.91,10150.0,6753.0
2018-12-31 14:00:00+01:00,59.68,9943.0,6729.0
2018-12-31 15:00:00+01:00,56.6,9913.0,6758.0
2018-12-31 16:00:00+01:00,63.28,9924.0,6704.0
2018-12-31 17:00:00+01:00,68.01,10507.0,6944.0
2018-12-31 18:00:00+01:00,66.98,10736.0,7023.0
2018-12-31 19:00:00+01:00,58.28,10493.0,7138.0
2018-12-31 20:00:00+01:00,50.01,10014.0,7008.0
2018-12-31 21:00:00+01:00,45.79,9569.0,7014.0
2018-12-31 22:00:00+01:00,50.49,9397.0,7198.0
2018-12-31 23:00:00+01:00,56.14,9633.0,7305.0
2019-01-01 00:00:00+01:00,69.49,9186.0,6482.0
2019-01-01 01:00:00+01:00,66.58,8701.0,6493.0
2019-01-01 02:00:00+01:00,65.07,8298.0,6441.0
2019-01-01 03:00:00+01:00,52.17,7971.0,5922.0
2019-01-01 04:00:00+01:00,47.66,7711.0,5755.0
2019-01-01 05:00:00+01:00,50.87,7618.0,6012.0
2019-01-01 06:00:00+01:00,52.88,7616.0,6283.0
2019-01-01 07:00:00+01:00,61.78,7548.0,6755.0
2019-01-01 08:00:00+01:00,50.08,7582.0,6811.0
2019-01-01 09:00:00+01:00,50.27,7756.0,6890.0
2019-01-01 10:00:00+01:00,66.36,8089.0,7117.0
2019-01-01 11:00:00+01:00,75.08,8402.0,7417.0
2019-01-01 12:00:00+01:00,90.66,8681.0,7746.0
2019-01-01 13:00:00+01:00,75.71,8769.0,7430.0
2019-01-01 14:00:00+01:00,68.3,8651.0,7296.0
2019-01-01 15:00:00+01:00,61.83,8638.0,7323.0
2019-01-01 16:00:00+01:00,72.12,8668.0,7472.0
2019-01-01 17:00:00+01:00,62.58,9070.0,7817.0
2019-01-01 18:00:00+01:00,56.94,9389.0,7937.0
2019-01-01 19:00:00+01:00,57.89,9318.0,7989.0
2019-01-01 20:00:00+01:00,51.3,9108.0,7907.0
2019-01-01 21:00:00+01:00,51.89,8956.0,7930.0
2019-01-01 22:00:00+01:00,60.88,9038.0,7904.0
2019-01-01 23:00:00+01:00,60.74,9342.0,7968.0
2019-01-02 00:00:00+01:00,65.96,8977.0,8057.0
2019-01-02 01:00:00+01:00,57.9,8975.0,7972.0
2019-01-02 02:00:00+01:00,56.48,8626.0,7319.0
2019-01-02 03:00:00+01:00,46.68,8483.0,7392.0
2019-01-02 04:00:00+01:00,50.8,8582.0,7489.0
2019-01-02 05:00:00+01:00,45.28,8845.0,8369.0
2019-01-02 06:00:00+01:00,55.3,9556.0,9137.0
2019-01-02 07:00:00+01:00,56.86,10491.0,9473.0
2019-01-02 08:00:00+01:00,55.99,11413.0,9801.0
2019-01-02 09:00:00+01:00,55.33,11696.0,10233.0
2019-01-02 10:00:00+01:00,53.47,11800.0,10481.0
2019-01-02 11:00:00+01:00,53.22,11832.0,10579.0
2019-01-02 12:00:00+01:00,57.32,11377.0,10599.0
2019-01-02 13:00:00+01:00,51.91,11215.0,10494.0
2019-01-02 14:00:00+01:00,54.59,11072.0,10289.0
2019-01-02 15:00:00+01:00,58.89,11097.0,9972.0
2019-01-02 16:00:00+01:00,66.57,11059.0,10258.0
2019-01-02 17:00:00+01:00,74.33,11706.0,10388.0
2019-01-02 18:00:00+01:00,74.45,12052.0,10448.0
2019-01-02 19:00:00+01:00,74.33,11798.0,10343.0
2019-01-02 20:00:00+01:00,67.29,10963.0,9890.0
2019-01-02 21:00:00+01:00,55.64,10379.0,8864.0
2019-01-02 22:00:00+01:00,56.77,10258.0,8985.0
2019-01-02 23:00:00+01:00,57.28,10527.0,8986.0
2019-01-03 00:00:00+01:00,50.12,10243.0,7925.0
2019-01-03 01:00:00+01:00,46.45,9641.0,6952.0
2019-01-03 02:00:00+01:00,46.12,9195.0,6446.0
2019-01-03 03:00:00+01:00,44.0,8783.0,6396.0
2019-01-03 04:00:00+01:00,43.88,8772.0,6446.0
2019-01-03 05:00:00+01:00,45.92,8939.0,7044.0
2019-01-03 06:00:00+01:00,52.96,9526.0,7973.0
2019-01-03 07:00:00+01:00,60.22,10327.0,9495.0
2019-01-03 08:00:00+01:00,65.65,11171.0,9591.0
2019-01-03 09:00:00+01:00,75.58,11480.0,9782.0
2019-01-03 10:00:00+01:00,77.03,11667.0,9917.0
2019-01-03 11:00:00+01:00,71.59,11728.0,9665.0
2019-01-03 12:00:00+01:00,69.83,11659.0,10922.0
2019-01-03 13:00:00+01:00,68.15,11598.0,9899.0
2019-01-03 14:00:00+01:00,68.25,11479.0,9883.0
2019-01-03 15:00:00+01:00,68.19,11492.0,9809.0
2019-01-03 16:00:00+01:00,69.4,11371.0,9872.0
2019-01-03 17:00:00+01:00,72.32,11996.0,9967.0
2019-01-03 18:00:00+01:00,77.92,12353.0,10198.0
2019-01-03 19:00:00+01:00,71.34,11883.0,10025.0
2019-01-03 20:00:00+01:00,68.38,11322.0,9731.0
2019-01-03 21:00:00+01:00,61.72,10801.0,9535.0
2019-01-03 22:00:00+01:00,56.6,10671.0,9176.0
2019-01-03 23:00:00+01:00,56.06,10878.0,8791.0
2019-01-04 00:00:00+01:00,53.44,10411.0,8898.0
2019-01-04 01:00:00+01:00,51.27,9798.0,8686.0
2019-01-04 02:00:00+01:00,50.0,9305.0,8086.0
2019-01-04 03:00:00+01:00,47.87,8948.0,7980.0
2019-01-04 04:00:00+01:00,47.0,8845.0,8060.0
2019-01-04 05:00:00+01:00,47.51,8990.0,8570.0
2019-01-04 06:00:00+01:00,59.54,9582.0,9088.0
2019-01-04 07:00:00+01:00,68.4,10308.0,9929.0
2019-01-04 08:00:00+01:00,74.19,11129.0,10358.0
2019-01-04 09:00:00+01:00,81.91,11518.0,10738.0
2019-01-04 10:00:00+01:00,83.56,11614.0,10910.0
2019-01-04 11:00:00+01:00,82.33,11683.0,10953.0
2019-01-04 12:00:00+01:00,79.38,11668.0,9728.0
2019-01-04 13:00:00+01:00,78.45,11517.0,10732.0
2019-01-04 14:00:00+01:00,80.62,11329.0,10614.0
2019-01-04 15:00:00+01:00,80.39,11201.0,10608.0
2019-01-04 16:00:00+01:00,79.73,11245.0,10744.0
2019-01-04 17:00:00+01:00,86.94,11832.0,11308.0
2019-01-04 18:00:00+01:00,85.7,12048.0,10965.0
2019-01-04 19:00:00+01:00,79.6,11598.0,10343.0
2019-01-04 20:00:00+01:00,60.4,11094.0,10199.0
2019-01-04 21:00:00+01:00,60.3,10597.0,9826.0
2019-01-04 22:00:00+01:00,60.3,10383.0,9780.0
2019-01-04 23:00:00+01:00,54.9,10694.0,9705.0
2019-01-05 00:00:00+01:00,59.3,10218.0,8926.0
2019-01-05 01:00:00+01:00,57.17,9826.0,8418.0
2019-01-05 02:00:00+01:00,45.9,9250.0,8272.0
2019-01-05 03:00:00+01:00,49.05,8860.0,8107.0
2019-01-05 04:00:00+01:00,51.0,8832.0,7875.0
2019-01-05 05:00:00+01:00,51.0,8949.0,7852.0
2019-01-05 06:00:00+01:00,52.21,9298.0,8113.0
2019-01-05 07:00:00+01:00,48.09,9405.0,8840.0
2019-01-05 08:00:00+01:00,59.11,9967.0,8929.0
2019-01-05 09:00:00+01:00,69.0,10163.0,9144.0
2019-01-05 10:00:00+01:00,69.0,10271.0,9321.0
2019-01-05 11:00:00+01:00,69.0,10486.0,9357.0
2019-01-05 12:00:00+01:00,73.0,10662.0,9544.0
2019-01-05 13:00:00+01:00,73.0,10545.0,9597.0
2019-01-05 14:00:00+01:00,68.96,10344.0,9139.0
2019-01-05 15:00:00+01:00,64.12,10324.0,9067.0
2019-01-05 16:00:00+01:00,59.61,10228.0,8968.0
2019-01-05 17:00:00+01:00,75.14,10882.0,9474.0
2019-01-05 18:00:00+01:00,74.7,11195.0,9448.0
2019-01-05 19:00:00+01:00,76.29,10911.0,9243.0
2019-01-05 20:00:00+01:00,68.07,10375.0,8772.0
2019-01-05 21:00:00+01:00,60.05,10027.0,8627.0
2019-01-05 22:00:00+01:00,65.76,9752.0,8594.0
2019-01-05 23:00:00+01:00,64.9,10101.0,8343.0
2019-01-06 00:00:00+01:00,59.23,10255.0,7670.0
2019-01-06 01:00:00+01:00,51.54,9081.0,7607.0
2019-01-06 02:00:00+01:00,50.6,8561.0,7578.0
2019-01-06 03:00:00+01:00,48.02,8240.0,7430.0
2019-01-06 04:00:00+01:00,46.41,8074.0,6769.0
2019-01-06 05:00:00+01:00,47.17,8055.0,6753.0
2019-01-06 06:00:00+01:00,48.19,8192.0,7446.0
2019-01-06 07:00:00+01:00,49.11,8284.0,7496.0
2019-01-06 08:00:00+01:00,50.77,8649.0,7540.0
2019-01-06 09:00:00+01:00,53.4,9013.0,7770.0
2019-01-06 10:00:00+01:00,56.55,9675.0,8355.0
2019-01-06 11:00:00+01:00,60.02,10009.0,8403.0
2019-01-06 12:00:00+01:00,60.22,10299.0,8431.0
2019-01-06 13:00:00+01:00,55.0,10214.0,8418.0
2019-01-06 14:00:00+01:00,52.39,9935.0,8389.0
2019-01-06 15:00:00+01:00,51.57,9889.0,8313.0
2019-01-06 16:00:00+01:00,54.71,9705.0,8216.0
2019-01-06 17:00:00+01:00,63.43,10500.0,8179.0
2019-01-06 18:00:00+01:00,67.37,10957.0,8340.0
2019-01-06 19:00:00+01:00,67.2,10816.0,8256.0
2019-01-06 20:00:00+01:00,66.03,10527.0,8072.0
2019-01-06 21:00:00+01:00,55.36,10076.0,8035.0
2019-01-06 22:00:00+01:00,58.59,9982.0,8039.0
2019-01-06 23:00:00+01:00,55.97,10149.0,8072.0
2019-01-07 00:00:00+01:00,54.58,9552.0,7834.0
2019-01-07 01:00:00+01:00,50.7,9383.0,7763.0
2019-01-07 02:00:00+01:00,47.84,8979.0,6603.0
2019-01-07 03:00:00+01:00,46.11,8745.0,6551.0
2019-01-07 04:00:00+01:00,46.08,8744.0,6563.0
2019-01-07 05:00:00+01:00,47.62,9199.0,7631.0
2019-01-07 06:00:00+01:00,55.77,10314.0,8668.0
2019-01-07 07:00:00+01:00,68.61,11598.0,9186.0
2019-01-07 08:00:00+01:00,74.15,12243.0,10295.0
2019-01-07 09:00:00+01:00,74.93,12390.0,10434.0
2019-01-07 10:00:00+01:00,73.59,12431.0,10135.0
2019-01-07 11:00:00+01:00,71.23,12439.0,9651.0
2019-01-07 12:00:00+01:00,70.18,12249.0,9441.0
2019-01-07 13:00:00+01:00,68.74,12275.0,9531.0
2019-01-07 14:00:00+01:00,64.6,12023.0,9610.0
2019-01-07 15:00:00+01:00,59.25,12016.0,9765.0
2019-01-07 16:00:00+01:00,58.16,11974.0,9915.0
2019-01-07 17:00:00+01:00,74.0,12763.0,11363.0
2019-01-07 18:00:00+01:00,53.95,13002.0,11260.0
2019-01-07 19:00:00+01:00,50.0,12468.0,11304.0
2019-01-07 20:00:00+01:00,51.0,11848.0,10963.0
2019-01-07 21:00:00+01:00,44.4,11245.0,10604.0
2019-01-07 22:00:00+01:00,48.72,10939.0,10497.0
2019-01-07 23:00:00+01:00,44.4,11127.0,10410.0
2019-01-08 00:00:00+01:00,37.88,10642.0,9487.0
2019-01-08 01:00:00+01:00,43.76,10264.0,8697.0
2019-01-08 02:00:00+01:00,44.5,9820.0,8646.0
2019-01-08 03:00:00+01:00,30.87,9582.0,8528.0
2019-01-08 04:00:00+01:00,28.28,9597.0,8498.0
2019-01-08 05:00:00+01:00,42.0,9995.0,8812.0
2019-01-08 06:00:00+01:00,54.0,10938.0,10559.0
2019-01-08 07:00:00+01:00,60.79,11911.0,11142.0
2019-01-08 08:00:00+01:00,72.7,12313.0,11743.0
2019-01-08 09:00:00+01:00,67.64,12291.0,11630.0
2019-01-08 10:00:00+01:00,61.81,12189.0,11668.0
2019-01-08 11:00:00+01:00,58.55,12230.0,11607.0
2019-01-08 12:00:00+01:00,49.39,12093.0,11716.0
2019-01-08 13:00:00+01:00,49.01,12138.0,11803.0
2019-01-08 14:00:00+01:00,52.38,11987.0,11750.0
2019-01-08 15:00:00+01:00,52.37,12078.0,11659.0
2019-01-08 16:00:00+01:00,52.84,11940.0,11539.0
2019-01-08 17:00:00+01:00,77.35,12493.0,11747.0
2019-01-08 18:00:00+01:00,55.22,12884.0,11590.0
2019-01-08 19:00:00+01:00,51.99,12430.0,11350.0
2019-01-08 20:00:00+01:00,50.1,11836.0,10661.0
2019-01-08 21:00:00+01:00,51.6,11278.0,10452.0
2019-01-08 22:00:00+01:00,53.34,11135.0,10367.0
2019-01-08 23:00:00+01:00,54.98,11341.0,10354.0
2019-01-09 00:00:00+01:00,45.1,10535.0,9852.0
2019-01-09 01:00:00+01:00,43.05,9978.0,9249.0
2019-01-09 02:00:00+01:00,40.41,9582.0,8738.0
2019-01-09 03:00:00+01:00,35.49,9356.0,8515.0
2019-01-09 04:00:00+01:00,30.76,9293.0,8521.0
2019-01-09 05:00:00+01:00,38.53,9693.0,9393.0
2019-01-09 06:00:00+01:00,50.69,10696.0,10419.0
2019-01-09 07:00:00+01:00,60.6,11711.0,11294.0
2019-01-09 08:00:00+01:00,70.39,12107.0,11916.0
2019-01-09 09:00:00+01:00,74.0,12181.0,12131.0
2019-01-09 10:00:00+01:00,70.1,12139.0,11821.0
2019-01-09 11:00:00+01:00,54.68,12216.0,12099.0
2019-01-09 12:00:00+01:00,51.09,12072.0,12199.0
2019-01-09 13:00:00+01:00,50.1,12091.0,12217.0
2019-01-09 14:00:00+01:00,54.16,11959.0,12083.0
2019-01-09 15:00:00+01:00,56.34,12015.0,11833.0
2019-01-09 16:00:00+01:00,64.98,11862.0,11534.0
