Date, Prices, Generation forecast, System load forecast
2019-04-15 00:00:00,53.97,57280.0,56300.0
2019-04-15 01:00:00,42.97,56098.0,54350.0
2019-04-15 02:00:00,41.01,54734.0,53650.0
2019-04-15 03:00:00,38.9,53711.0,51250.0
2019-04-15 04:00:00,37.99,54193.0,50600.0
2019-04-15 05:00:00,42.6,57122.0,52350.0
2019-04-15 06:00:00,50.59,61842.0,57200.0
2019-04-15 07:00:00,59.18,64667.0,63200.0
2019-04-15 08:00:00,60.67,66425.0,65700.0
2019-04-15 09:00:00,59.84,68173.0,66250.0
2019-04-15 10:00:00,59.0,68270.0,64850.0
2019-04-15 11:00:00,52.25,67225.0,63400.0
2019-04-15 12:00:00,48.93,67474.0,62450.0
2019-04-15 13:00:00,45.77,66718.0,61400.0
2019-04-15 14:00:00,40.82,65511.0,58700.0
2019-04-15 15:00:00,37.52,63597.0,55950.0
2019-04-15 16:00:00,36.0,62761.0,54300.0
2019-04-15 17:00:00,40.96,62543.0,52600.0
2019-04-15 18:00:00,47.01,63457.0,53650.0
2019-04-15 19:00:00,49.27,63483.0,56450.0
2019-04-15 20:00:00,48.56,63200.0,56650.0
2019-04-15 21:00:00,45.7,63019.0,56250.0
2019-04-15 22:00:00,42.43,63010.0,54750.0
2019-04-15 23:00:00,44.01,62759.0,57650.0
2019-04-16 00:00:00,38.4,59723.0,55150.0
2019-04-16 01:00:00,35.91,57934.0,52200.0
2019-04-16 02:00:00,36.66,57093.0,51550.0
2019-04-16 03:00:00,36.03,56215.0,48850.0
2019-04-16 04:00:00,35.06,56024.0,47700.0
2019-04-16 05:00:00,37.42,56815.0,49300.0
2019-04-16 06:00:00,46.22,60914.0,53850.0
2019-04-16 07:00:00,52.06,63382.0,58600.0
2019-04-16 08:00:00,52.31,64660.0,61500.0
2019-04-16 09:00:00,54.03,66113.0,62750.0
2019-04-16 10:00:00,50.84,66430.0,62450.0
2019-04-16 11:00:00,50.15,66598.0,62150.0
2019-04-16 12:00:00,48.47,65950.0,61850.0
2019-04-16 13:00:00,44.83,65027.0,61550.0
2019-04-16 14:00:00,43.16,64228.0,59950.0
2019-04-16 15:00:00,42.15,62738.0,57600.0
2019-04-16 16:00:00,39.7,61802.0,55650.0
2019-04-16 17:00:00,44.5,61892.0,53950.0
2019-04-16 18:00:00,49.74,62318.0,54300.0
2019-04-16 19:00:00,52.95,62527.0,56200.0
2019-04-16 20:00:00,50.32,62016.0,56150.0
2019-04-16 21:00:00,47.94,61263.0,56350.0
2019-04-16 22:00:00,49.25,61289.0,54850.0
2019-04-16 23:00:00,48.01,60155.0,57350.0
2019-04-17 00:00:00,46.92,58480.0,54850.0
2019-04-17 01:00:00,40.96,55957.0,51500.0
2019-04-17 02:00:00,35.02,55182.0,50650.0
2019-04-17 03:00:00,35.02,54904.0,47700.0
2019-04-17 04:00:00,35.36,54836.0,46600.0
2019-04-17 05:00:00,37.94,56310.0,48150.0
2019-04-17 06:00:00,46.82,59983.0,52350.0
2019-04-17 07:00:00,50.43,62792.0,56800.0
2019-04-17 08:00:00,52.23,65071.0,60000.0
2019-04-17 09:00:00,50.4,66417.0,61500.0
2019-04-17 10:00:00,48.01,66871.0,60350.0
2019-04-17 11:00:00,43.2,66680.0,59250.0
2019-04-17 12:00:00,41.13,66041.0,58450.0
2019-04-17 13:00:00,38.5,65198.0,57650.0
2019-04-17 14:00:00,36.12,64683.0,55550.0
2019-04-17 15:00:00,35.05,63777.0,53100.0
2019-04-17 16:00:00,35.49,63087.0,51000.0
2019-04-17 17:00:00,38.73,63627.0,49000.0
2019-04-17 18:00:00,46.09,63938.0,50050.0
2019-04-17 19:00:00,49.49,64268.0,52400.0
2019-04-17 20:00:00,48.09,64382.0,51850.0
2019-04-17 21:00:00,44.83,64255.0,52750.0
2019-04-17 22:00:00,41.03,63749.0,51550.0
2019-04-17 23:00:00,37.29,61978.0,54300.0
2019-04-18 00:00:00,37.93,58404.0,52000.0
2019-04-18 01:00:00,37.3,57367.0,48500.0
2019-04-18 02:00:00,37.24,56969.0,47600.0
2019-04-18 03:00:00,35.02,56082.0,45000.0
2019-04-18 04:00:00,35.06,55902.0,43700.0
2019-04-18 05:00:00,38.07,58043.0,45200.0
2019-04-18 06:00:00,47.82,61564.0,49650.0
2019-04-18 07:00:00,51.95,64029.0,54450.0
2019-04-18 08:00:00,56.19,65360.0,57100.0
2019-04-18 09:00:00,49.93,65963.0,57700.0
2019-04-18 10:00:00,44.57,65413.0,56500.0
2019-04-18 11:00:00,40.39,64068.0,55350.0
2019-04-18 12:00:00,37.99,63737.0,54850.0
2019-04-18 13:00:00,34.93,62804.0,54500.0
2019-04-18 14:00:00,34.3,62187.0,52550.0
2019-04-18 15:00:00,32.67,61692.0,50800.0
2019-04-18 16:00:00,34.34,60636.0,49050.0
2019-04-18 17:00:00,39.4,61005.0,47800.0
2019-04-18 18:00:00,45.09,62023.0,48500.0
2019-04-18 19:00:00,49.31,62034.0,50550.0
2019-04-18 20:00:00,48.19,62233.0,49850.0
2019-04-18 21:00:00,44.95,61863.0,50100.0
2019-04-18 22:00:00,43.19,61260.0,48700.0
2019-04-18 23:00:00,41.39,60627.0,51750.0
2019-04-19 00:00:00,36.7,55397.0,49300.0
2019-04-19 01:00:00,34.12,53853.0,46050.0
2019-04-19 02:00:00,32.76,53522.0,45200.0
2019-04-19 03:00:00,31.55,53059.0,42550.0
2019-04-19 04:00:00,32.07,53456.0,41100.0
2019-04-19 05:00:00,34.18,54413.0,42400.0
2019-04-19 06:00:00,38.42,57561.0,46450.0
2019-04-19 07:00:00,41.0,59368.0,50750.0
2019-04-19 08:00:00,45.28,61206.0,53650.0
2019-04-19 09:00:00,43.81,62066.0,54700.0
2019-04-19 10:00:00,38.76,62079.0,54250.0
2019-04-19 11:00:00,36.51,61056.0,53700.0
2019-04-19 12:00:00,34.64,61565.0,53500.0
2019-04-19 13:00:00,30.94,61140.0,53600.0
2019-04-19 14:00:00,26.24,59993.0,51800.0
2019-04-19 15:00:00,25.45,59511.0,49600.0
2019-04-19 16:00:00,27.98,58971.0,47850.0
2019-04-19 17:00:00,30.56,59205.0,46850.0
